"A";"5750589.235294118"
"B";"592982.2631578947"
"C";"7751366.208333333"
"D";"28944.5"
"E";"1713542.7"
"F";"127018.5"
"G";"220637.88888888888"
"H";"46777.4"
"I";"885742.8888888889"
"J";"129639.66666666667"
"K";"518059"
"L";"254041.77777777778"
"M";"808431.64"
"N";"2008805"
"O";"4417744.5"
"P";"382395.3"
"Q";"11521"
"R";"4290504.25"
"S";"903179.7"
"T";"224311.57142857142"
"U";"1631355"
"V";"210252.83333333334"
"W";"133137"
"Y";"528076"
"Z";"571699"
